RAJ2000,DEJ2000,Flux_mJy,comment
148.858125,10.33,19.9,
140.233375,10.331194,68.9,
160.549625,10.332278,28.7,
150.926958,10.333306,89.6,
125.356458,10.333778,26.5,
151.336667,10.334583,17.8,
140.218083,10.335028,42.5,
136.061417,10.336333,21.7,
155.601292,10.337278,20.2,
149.387375,10.337722,30.0,
155.07399999999996,10.339,59.2,
156.166,10.33975,25.5,
134.105,10.340167,92.8,
136.049708,10.341917,24.7,
132.5345,10.343889,17.3,
133.265833,10.3445,79.2,
158.657667,10.348028,42.8,
128.805042,10.348889,15.4,
166.45666699999995,10.349694,150.7,
144.219375,10.352694,15.1,
158.25358300000005,10.356917,36.2,
166.687375,10.357139,16.5,
170.621875,10.357444,40.9,
138.769917,10.35825,38.0,
129.468167,10.358361,17.2,
173.466917,10.359333,128.0,
148.029708,10.362306,64.8,
144.97899999999996,10.364306,24.0,
150.050708,10.3665,61.9,
131.0885,10.36825,25.3,
156.748333,10.369972,17.4,
147.760333,10.370833,60.5,
148.048125,10.373472,20.0,
126.587208,10.373944,57.1,
156.434208,10.375417,76.6,
146.33529199999995,10.376056,20.6,
139.534875,10.3765,71.0,
144.462125,10.377028,31.1,
154.626708,10.377611,41.5,
158.244875,10.379944,44.0,
138.56,10.380999999999998,30.7,
156.64795800000005,10.380999999999998,50.8,
172.486375,10.385806,27.7,
140.636083,10.388528,45.8,
161.984792,10.389889,31.3,
141.7845,10.390417,204.1,
151.68075,10.394028,41.1,
173.247875,10.395194,879.1,
174.777875,10.39575,144.9,
174.950167,10.39925,19.0,
127.641875,10.401111,39.8,
137.17054199999998,10.403139,53.6,
162.150583,10.405444,36.5,
140.9335,10.405583,47.0,
165.8545,10.405611,15.0,
144.437708,10.407611,226.3,
144.10820800000005,10.409722,37.7,
148.235292,10.411611,43.0,
134.207583,10.412694,23.4,
147.462417,10.414139,23.8,
152.133708,10.414972,40.3,
166.201458,10.417694,32.4,
169.44099999999997,10.420778,28.1,
170.337208,10.425361,20.5,
159.82025,10.427722,37.4,
151.205375,10.428972,206.1,
163.488333,10.429944,38.1,
165.3685,10.430361,21.2,
156.492042,10.432583,47.9,
168.53008300000005,10.434444,22.4,
157.453292,10.435806,103.8,
158.245292,10.437722,40.7,
152.318833,10.442639,87.6,
151.999333,10.446694,45.9,
170.518375,10.448833,19.8,
148.057208,10.458472,17.2,
144.120625,10.46125,15.4,
150.932208,10.4615,19.6,
157.862667,10.465611,26.3,
134.633875,10.466028,51.1,
160.208125,10.466111,34.8,
157.256375,10.467111,35.2,
128.43975,10.467833,91.7,
147.200625,10.468167,42.5,
153.906708,10.468889,15.3,
161.93925,10.474361,72.1,
160.17429199999995,10.476611,49.2,
145.31970800000005,10.477361,138.7,
132.790292,10.478417,124.0,
143.74041699999995,10.481056,21.3,
165.572792,10.485611,618.8,
137.737417,10.488611,25.7,
173.893583,10.488722,40.5,
167.23175,10.488833,22.7,
164.724375,10.4895,53.0,
147.213833,10.491167,115.4,
130.4015,10.495917,69.3,
170.424417,10.49625,76.2,
138.19845800000002,10.498694,46.3,
132.593625,10.498861,201.6,
133.421708,10.501889,37.7,
149.00716699999995,10.504528,17.3,
133.007792,10.505389,33.0,
125.214167,10.505722,15.5,
164.199,10.507722,348.9,
165.237583,10.50825,42.5,
